Beginning of 3683 lines of CVR
1	102  Ward 2	5121627 N	2	1	Republican 
13	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
13	102  Ward 2	5121627		3	29	Gary Watts				Coroner
13	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
13	102  Ward 2	5121627		3	57	Yes						Local Question 2
13	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
13	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
13	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
13	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
13	102  Ward 2	5121627		3	57	Yes						Local Question 2
13	102  Ward 2	5121627		3	7	Mitt Romney				President of Vice President
13	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
13	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
13	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
13	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
13	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
13	102  Ward 2	5121627		3	55	No						Local Question 1
14	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
14	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
14	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
14	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
14	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
14	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
14	102  Ward 2	5121627		3	54	Yes						Local Question 1
15	102  Ward 2	5121627 N	3	1	Republican 
15	102  Ward 2	5121627		3	52	No						Statewide Amendment No 1
15	102  Ward 2	5121627		3	58	No						Local Question 2
16	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
16	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
16	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
16	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
16	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
16	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
16	102  Ward 2	5121627		3	54	Yes						Local Question 1
17	102  Ward 2	5121627 N	3	3	Democratic 
17	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
17	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
17	102  Ward 2	5121627		3	29	Gary Watts				Coroner
17	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
17	102  Ward 2	5121627		3	54	Yes						Local Question 1
18	102  Ward 2	5121627 N	3	3	Democratic 
18	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
18	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
18	102  Ward 2	5121627		3	29	Gary Watts				Coroner
18	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
18	102  Ward 2	5121627		3	55	No						Local Question 1
19	102  Ward 2	5121627 N	3	3	Democratic 
19	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
19	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
19	102  Ward 2	5121627		3	29	Gary Watts				Coroner
19	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
19	102  Ward 2	5121627		3	58	No						Local Question 2
19	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
19	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
19	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
19	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
19	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
19	102  Ward 2	5121627		3	57	Yes						Local Question 2
19	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
19	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
19	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
19	102  Ward 2	5121627		3	57	Yes						Local Question 2
19	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
19	102  Ward 2	5121627		3	23	J Todd Rutherford		 HOU074 State House of Representatives
19	102  Ward 2	5121627		3	29	Gary Watts				Coroner
19	102  Ward 2	5121627		3	35	John V Green		 Soil and Water District Commission
19	102  Ward 2	5121627		3	51	Yes						Statewide Amendment No 1
19	102  Ward 2	5121627		3	57	Yes						Local Question 2
19	102  Ward 2	5121627		4	26	Leon Lott				Sheriff
19	102  Ward 2	5121627		4	52	No						Statewide Amendment No 1
19	102  Ward 2	5121627		4	58	No						Local Question 2
19	102  Ward 2	5121627		3	9	Barack Obama				President of Vice President
19	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
19	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
19	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
19	102  Ward 2	5121627		3	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
19	102  Ward 2	5121627		3	55	No						Local Question 1
20	102  Ward 2	5121627 N	3	9	Barack Obama		 President of Vice President
20	102  Ward 2	5121627		3	17	Darrell Jackson				SEND021 State Senate
20	102  Ward 2	5121627		3	26	Leon Lott				Sheriff
20	102  Ward 2	5121627		3	32	Jeanette W McBride		 Clerk of Court
20	102  Ward 2	5121627		3	38	Vince Ford				SCH1ALG School Board District 1 At Large
20	102  Ward 2	5121627		3	45	Beatrice King				SCHO013 School Board District 1 Seat 3
20	102  Ward 2	5121627		3	55	No						Local Question 1
21	102  Ward 2	5121627 N	4	3	Democratic 
21	102  Ward 2	5121627		4	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
21	102  Ward 2	5121627		4	20	James Smith				HOU072 State House of Representatives
21	102  Ward 2	5121627		4	29	Gary Watts				Coroner
21	102  Ward 2	5121627		4	35	John V Green		 Soil and Water District Commission
21	102  Ward 2	5121627		4	40	Antjuan Seawright				SCH1ALG School Board District 1 At Large
21	102  Ward 2	5121627		4	51	Yes						Statewide Amendment No 1
21	102  Ward 2	5121627		4	57	Yes						Local Question 2
21	102  Ward 2	5121627		4	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
21	102  Ward 2	5121627		4	20	James Smith				HOU072 State House of Representatives
21	102  Ward 2	5121627		4	29	Gary Watts				Coroner
21	102  Ward 2	5121627		4	35	John V Green		 Soil and Water District Commission
21	102  Ward 2	5121627		4	39	Moryah Jackson				SCH1ALG School Board District 1 At Large
21	102  Ward 2	5121627		4	52	No						Statewide Amendment No 1
21	102  Ward 2	5121627		4	57	Yes						Local Question 2
21	102  Ward 2	5121627		3	13	James E Jim		 Clyburn CONG006 U.S. House of Representatives
